timestamp,temperatura_pr1,date (America/Sao_Paulo)
1763407669013,5.3,2025-11-17 16:27:49.013000-03:00
1763407608689,4.8,2025-11-17 16:26:48.689000-03:00
1763407548364,4.4,2025-11-17 16:25:48.364000-03:00
1763407487980,4.0,2025-11-17 16:24:47.980000-03:00
1763407427688,3.6,2025-11-17 16:23:47.688000-03:00
1763407367338,3.4,2025-11-17 16:22:47.338000-03:00
1763407307012,3.7,2025-11-17 16:21:47.012000-03:00
1763407246684,4.6,2025-11-17 16:20:46.684000-03:00
1763407186346,5.4,2025-11-17 16:19:46.346000-03:00
1763407126018,6.0,2025-11-17 16:18:46.018000-03:00
1763407065694,5.8,2025-11-17 16:17:45.694000-03:00
1763407005367,5.3,2025-11-17 16:16:45.367000-03:00
1763406945044,4.9,2025-11-17 16:15:45.044000-03:00
1763406884710,4.4,2025-11-17 16:14:44.710000-03:00
1763406824390,4.0,2025-11-17 16:13:44.390000-03:00
1763406764074,3.6,2025-11-17 16:12:44.074000-03:00
1763406703669,3.3,2025-11-17 16:11:43.669000-03:00
1763406643359,3.6,2025-11-17 16:10:43.359000-03:00
1763406583010,4.6,2025-11-17 16:09:43.010000-03:00
1763406522696,5.4,2025-11-17 16:08:42.696000-03:00
1763406462356,5.9,2025-11-17 16:07:42.356000-03:00
1763406401986,5.9,2025-11-17 16:06:41.986000-03:00
1763406341678,5.4,2025-11-17 16:05:41.678000-03:00
1763406281326,4.9,2025-11-17 16:04:41.326000-03:00
1763406221001,4.5,2025-11-17 16:03:41.001000-03:00
1763406160672,4.0,2025-11-17 16:02:40.672000-03:00
1763406100343,3.6,2025-11-17 16:01:40.343000-03:00
1763406040020,3.4,2025-11-17 16:00:40.020000-03:00
1763405979690,3.8,2025-11-17 15:59:39.690000-03:00
1763405919367,4.8,2025-11-17 15:58:39.367000-03:00
1763405859036,5.6,2025-11-17 15:57:39.036000-03:00
1763405798756,6.0,2025-11-17 15:56:38.756000-03:00
1763405738308,5.7,2025-11-17 15:55:38.308000-03:00
1763405677986,5.2,2025-11-17 15:54:37.986000-03:00
1763405617656,4.8,2025-11-17 15:53:37.656000-03:00
1763405557331,4.4,2025-11-17 15:52:37.331000-03:00
1763405497021,3.9,2025-11-17 15:51:37.021000-03:00
1763405436687,3.5,2025-11-17 15:50:36.687000-03:00
1763405376354,3.8,2025-11-17 15:49:36.354000-03:00
